service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
28,0,0,0,0,0,0,1,20221231,20241231
27,0,0,0,0,0,1,0,20221231,20241231
108,1,1,1,1,1,1,0,20221231,20241231
26,1,1,1,1,1,0,0,20221231,20241231
29,1,1,1,1,1,1,1,20221231,20241231
120,0,0,0,0,1,0,0,20221231,20241231
119,1,1,1,1,0,0,0,20221231,20241231
121,0,0,0,0,0,1,1,20190401,20190603
123,0,0,0,0,0,0,1,20190401,20190917
124,1,1,1,1,1,1,1,20190401,20190430
125,1,1,1,1,1,1,1,20190501,20190506
122,0,0,0,0,0,1,1,20190101,20190303
311,1,1,1,1,1,1,1,20191016,20241231
15,1,1,1,1,1,1,0,20221231,20241231
16,0,0,0,0,0,0,1,20221231,20241231
310,0,0,0,0,0,1,1,20190902,20230902
309,0,0,0,0,0,0,0,20190506,20190603
308,0,0,0,0,0,0,0,20190506,20190603
24,0,0,0,0,0,1,0,20221231,20241231
41,1,1,1,1,1,1,0,20221231,20241231
109,0,0,0,0,0,1,1,20221231,20241231
25,0,0,0,0,0,0,1,20221231,20241231
23,1,1,1,1,1,0,0,20221231,20241231
42,1,1,1,1,1,1,1,20221231,20241231
112,1,1,1,1,1,1,0,20221231,20241231
116,1,1,1,1,1,0,1,20221231,20241231
114,0,0,0,0,0,0,1,20221231,20241231
110,1,1,1,1,1,1,1,20221231,20241231
115,0,0,0,0,0,1,1,20221231,20241231
113,0,0,0,0,0,1,0,20221231,20241231
111,1,1,1,1,1,0,0,20221231,20241231
32,1,1,1,1,1,1,0,20221231,20241231
33,0,0,0,0,0,0,1,20221231,20241231
43,0,0,0,0,0,0,0,20221231,20241231
46,0,0,0,0,0,0,0,20221231,20241231
45,0,0,0,0,0,1,0,20221231,20241231
133,1,1,1,1,1,1,0,20221231,20241231
132,0,1,0,1,0,1,1,20180801,20200801
131,1,1,1,1,1,1,1,20221231,20241231
129,0,0,0,0,0,0,1,20221231,20241231
128,0,0,0,0,0,1,0,20221231,20241231
127,1,1,1,1,1,0,0,20221231,20241231
314,0,0,0,0,0,0,1,20221231,20241231
312,1,1,1,1,1,1,1,20200530,20200915
130,0,0,0,0,0,0,0,20180801,20221231
126,1,1,1,1,1,1,0,20221231,20241231
90,1,1,1,1,1,0,0,20221231,20241231
91,1,1,1,1,1,1,1,20221231,20241231
92,1,1,1,1,1,1,1,20221231,20241231
